                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4391,                 1.0599,                 1.5126,                0.95205,                0.90517,                0.95766,                0.57054,                 1.4281,                0.76752,                 1.5221,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4455,                 1.0828,                 1.5353,                0.92921,                0.93103,                0.94938,                0.56026,                 1.4233,                0.77866,                 1.5065,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4244,                 1.0627,                 1.5204,                0.89487,                0.93966,                0.95463,                 0.5458,                 1.4547,                0.72921,                 1.5479,               0.001307,               0.001307,               0.001307
                     38,                 1.3825,                   1.01,                 1.4587,                0.92243,                0.93966,                0.96013,                0.55155,                 1.4225,                0.72389,                 1.4886,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3943,                 1.0033,                 1.4758,                0.93253,                0.95326,                0.96153,                0.55379,                 1.4883,                0.68374,                 1.5544,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4134,                 1.0074,                 1.4845,                0.94724,                0.92864,                0.96946,                 0.5731,                 1.4263,                0.66749,                  1.491,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3812,                0.96461,                  1.457,                 0.9806,                0.93103,                0.98181,                0.55049,                  1.452,                0.67171,                  1.491,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3585,                0.98995,                 1.4331,                0.96092,                0.94828,                0.97084,                 0.5936,                 1.3806,                0.65586,                 1.4808,               0.001208,               0.001208,               0.001208
                     43,                 1.3561,                0.96463,                  1.437,                0.90053,                0.93966,                0.95714,                 0.5631,                 1.4114,                0.69684,                 1.5243,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4027,                 1.0099,                 1.4617,                0.94021,                0.94888,                0.98007,                0.55394,                 1.4171,                0.67046,                 1.5063,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3547,                0.96363,                 1.4488,                0.93129,                 0.9569,                0.96669,                0.61209,                 1.3368,                0.66241,                 1.4498,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3151,                0.97014,                 1.4261,                0.91794,                0.91379,                0.91444,                0.54784,                 1.4161,                 0.7078,                 1.4947,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.338,                0.94363,                 1.4274,                 0.9045,                 0.9569,                0.96493,                0.57343,                 1.3892,                0.65768,                 1.5102,               0.001109,               0.001109,               0.001109
